     0.000 D | <> Log initialized.
    13.655 D | Task "Net::Download(0x24f44320df0)" starting for the first time
    13.656 D | Downloading  "https://resources.download.minecraft.net/19/191510085f615e2d44136f45c41dd19aecf601e5"
    13.656 D | Task "Net::Download(0x24f443217b0)" starting for the first time
    13.656 D | Downloading  "https://resources.download.minecraft.net/c1/c1d5e6e41efdc8b81c44d4048cf9411a1ed078e8"
    13.657 D | Task "Net::Download(0x24f44322470)" starting for the first time
    13.657 D | Downloading  "https://resources.download.minecraft.net/33/337012cc85cea8ad09ac2bf0074be833477b3c6b"
    13.657 D | Task "Net::Download(0x24f443202b0)" starting for the first time
    13.658 D | Downloading  "https://resources.download.minecraft.net/dd/ddbbe00bc9961d220a5281295f9a79826f9dd4ff"
    13.658 D | Task "Net::Download(0x24f443220b0)" starting for the first time
    13.658 D | Downloading  "https://resources.download.minecraft.net/ac/aceb6b272d7396ac4a79e79bf702807fcdfa89a4"
    13.683 D | Download succeeded: "https://resources.download.minecraft.net/3f/3f12dd73fc614d4adc209fba547f5e33436cad39"
    13.684 D | Task "Net::Download(0x24f44320370)" starting for the first time
    13.684 D | Downloading  "https://resources.download.minecraft.net/8f/8f02296baf6e500731ba79c87a39ce1188bd3c93"
    13.707 D | Download succeeded: "https://resources.download.minecraft.net/c1/c1d5e6e41efdc8b81c44d4048cf9411a1ed078e8"
    13.709 D | Download succeeded: "https://resources.download.minecraft.net/dd/ddbbe00bc9961d220a5281295f9a79826f9dd4ff"
    13.710 D | Download succeeded: "https://resources.download.minecraft.net/33/337012cc85cea8ad09ac2bf0074be833477b3c6b"
    13.710 D | Task "Net::Download(0x24f443219f0)" starting for the first time
    13.711 D | Downloading  "https://resources.download.minecraft.net/99/99462b03d2b63e37a0e737e6053c883b41c953a6"
    13.711 D | Task "Net::Download(0x24f44321330)" starting for the first time
    13.712 D | Downloading  "https://resources.download.minecraft.net/f5/f524f055d0caa8764e472ab1bfc822ab8d631177"
    13.712 D | Task "Net::Download(0x24f44322a70)" starting for the first time
    13.712 D | Downloading  "https://resources.download.minecraft.net/38/385211c4a419a4613f311e45cd070e442e6a8a53"
    13.714 D | Download succeeded: "https://resources.download.minecraft.net/19/191510085f615e2d44136f45c41dd19aecf601e5"
    13.716 D | Download succeeded: "https://resources.download.minecraft.net/ac/aceb6b272d7396ac4a79e79bf702807fcdfa89a4"
    13.716 D | Task "Net::Download(0x24f44322530)" starting for the first time
    13.717 D | Downloading  "https://resources.download.minecraft.net/92/92e5c59c01a77c6b8e3520166a99d4c85fabd32b"
    13.717 D | Task "Net::Download(0x24f44321ab0)" starting for the first time
    13.718 D | Downloading  "https://resources.download.minecraft.net/70/70404bf7f36e330293abe69d4afa6d615b5a38fe"
    13.727 D | Download succeeded: "https://resources.download.minecraft.net/8f/8f02296baf6e500731ba79c87a39ce1188bd3c93"
    13.728 D | Task "Net::Download(0x24f44322b30)" starting for the first time
    13.728 D | Downloading  "https://resources.download.minecraft.net/ba/babba94d1823b3a43dfe1e32b55263f391568c39"
    13.738 D | Download succeeded: "https://resources.download.minecraft.net/99/99462b03d2b63e37a0e737e6053c883b41c953a6"
    13.738 D | Task "Net::Download(0x24f44322bf0)" starting for the first time
    13.739 D | Downloading  "https://resources.download.minecraft.net/68/6876f57693dda08f22402814218e81a2a162b889"
    13.754 D | Download succeeded: "https://resources.download.minecraft.net/92/92e5c59c01a77c6b8e3520166a99d4c85fabd32b"
    13.755 D | Download succeeded: "https://resources.download.minecraft.net/f5/f524f055d0caa8764e472ab1bfc822ab8d631177"
    13.756 D | Download succeeded: "https://resources.download.minecraft.net/38/385211c4a419a4613f311e45cd070e442e6a8a53"
    13.757 D | Download succeeded: "https://resources.download.minecraft.net/70/70404bf7f36e330293abe69d4afa6d615b5a38fe"
    13.758 D | Download succeeded: "https://resources.download.minecraft.net/ba/babba94d1823b3a43dfe1e32b55263f391568c39"
    13.759 D | Task "Net::Download(0x24f44320130)" starting for the first time
    13.759 D | Downloading  "https://resources.download.minecraft.net/c7/c72964143e2c5ea656f88d820937bb14275093db"
    13.760 D | Task "Net::Download(0x24f44320070)" starting for the first time
    13.760 D | Downloading  "https://resources.download.minecraft.net/4d/4dc5acc50501a33b6f85216e3344a9c08d0b0570"
    13.761 D | Task "Net::Download(0x24f44322d70)" starting for the first time
    13.761 D | Downloading  "https://resources.download.minecraft.net/89/89dcde689715952f9bd96b5a2e02bb0a22b5870e"
    13.761 D | Task "Net::Download(0x24f44322cb0)" starting for the first time
    13.762 D | Downloading  "https://resources.download.minecraft.net/b4/b42ab99f7c5546d4ccc9e7bfe4dd2ae942abe5f3"
    13.762 D | Task "Net::Download(0x24f44322ef0)" starting for the first time
    13.762 D | Downloading  "https://resources.download.minecraft.net/2e/2ed111eb51ab8c30bbf32da361b31f747f713ee2"
    13.783 D | Download succeeded: "https://resources.download.minecraft.net/68/6876f57693dda08f22402814218e81a2a162b889"
    13.783 D | Task "Net::Download(0x24f443201f0)" starting for the first time
    13.784 D | Downloading  "https://resources.download.minecraft.net/64/64dac9f0ca2c90da7002d2db65ab70527fa78758"
    13.808 D | Download succeeded: "https://resources.download.minecraft.net/c7/c72964143e2c5ea656f88d820937bb14275093db"
    13.809 D | Download succeeded: "https://resources.download.minecraft.net/89/89dcde689715952f9bd96b5a2e02bb0a22b5870e"
    13.811 D | Download succeeded: "https://resources.download.minecraft.net/b4/b42ab99f7c5546d4ccc9e7bfe4dd2ae942abe5f3"
    13.813 D | Download succeeded: "https://resources.download.minecraft.net/2e/2ed111eb51ab8c30bbf32da361b31f747f713ee2"
    13.814 D | Download succeeded: "https://resources.download.minecraft.net/4d/4dc5acc50501a33b6f85216e3344a9c08d0b0570"
    13.816 D | Task "Net::Download(0x24f443231f0)" starting for the first time
    13.816 D | Downloading  "https://resources.download.minecraft.net/50/503833660c919c6a48c885b601fc95f66c56db1e"
    13.817 D | Task "Net::Download(0x24f44323eb0)" starting for the first time
    13.817 D | Downloading  "https://resources.download.minecraft.net/68/6863a95d23db5e180e1427c80175e246c8911fba"
    13.817 D | Task "Net::Download(0x24f44323070)" starting for the first time
    13.818 D | Downloading  "https://resources.download.minecraft.net/c5/c5ec705763a6e1fe6e9578a00746b4cde7634929"
    13.818 D | Task "Net::Download(0x24f44323a30)" starting for the first time
    13.819 D | Downloading  "https://resources.download.minecraft.net/df/df0659c8e7120b4a49050d8cbd344017c83beb62"
    13.819 D | Task "Net::Download(0x24f443204f0)" starting for the first time
    13.819 D | Downloading  "https://resources.download.minecraft.net/aa/aa244e75b37714930d5a0c4d01c4921705d78e5f"
    13.837 D | Download succeeded: "https://resources.download.minecraft.net/64/64dac9f0ca2c90da7002d2db65ab70527fa78758"
    13.838 D | Task "Net::Download(0x24f443235b0)" starting for the first time
    13.838 D | Downloading  "https://resources.download.minecraft.net/37/371dddf142071e187d535c454744c77fde9e1142"
    13.853 D | Download succeeded: "https://resources.download.minecraft.net/50/503833660c919c6a48c885b601fc95f66c56db1e"
    13.855 D | Download succeeded: "https://resources.download.minecraft.net/aa/aa244e75b37714930d5a0c4d01c4921705d78e5f"
    13.856 D | Download succeeded: "https://resources.download.minecraft.net/68/6863a95d23db5e180e1427c80175e246c8911fba"
    13.857 D | Task "Net::Download(0x24f44323670)" starting for the first time
    13.857 D | Downloading  "https://resources.download.minecraft.net/af/aff8308a03703e5b3ee01c688a0094cfc7127d8a"
    13.859 D | Download succeeded: "https://resources.download.minecraft.net/c5/c5ec705763a6e1fe6e9578a00746b4cde7634929"
    13.860 D | Download succeeded: "https://resources.download.minecraft.net/df/df0659c8e7120b4a49050d8cbd344017c83beb62"
    13.861 D | Task "Net::Download(0x24f44323bb0)" starting for the first time
    13.862 D | Downloading  "https://resources.download.minecraft.net/37/3733a5ecf191c170d27f01d7c0cc8e35c399a5e4"
    13.862 D | Task "Net::Download(0x24f443238b0)" starting for the first time
    13.862 D | Downloading  "https://resources.download.minecraft.net/36/36204e8c59761c493a238efd1760600f4d3900fe"
    13.863 D | Task "Net::Download(0x24f44323af0)" starting for the first time
    13.863 D | Downloading  "https://resources.download.minecraft.net/cb/cba2511f127d5d03fdbb9525d7699544eba5d4f6"
    13.863 D | Task "Net::Download(0x24f44323d30)" starting for the first time
    13.864 D | Downloading  "https://resources.download.minecraft.net/35/35bb19510f54742b870014129028ad0bee38879c"
    13.876 D | Download succeeded: "https://resources.download.minecraft.net/37/371dddf142071e187d535c454744c77fde9e1142"
    13.877 D | Task "Net::Download(0x24f44323c70)" starting for the first time
    13.877 D | Downloading  "https://resources.download.minecraft.net/26/26073b1303e3d12275fc4d28d05ea3205fba9e08"
    13.902 D | Download succeeded: "https://resources.download.minecraft.net/af/aff8308a03703e5b3ee01c688a0094cfc7127d8a"
    13.904 D | Download succeeded: "https://resources.download.minecraft.net/37/3733a5ecf191c170d27f01d7c0cc8e35c399a5e4"
    13.905 D | Download succeeded: "https://resources.download.minecraft.net/36/36204e8c59761c493a238efd1760600f4d3900fe"
    13.906 D | Download succeeded: "https://resources.download.minecraft.net/35/35bb19510f54742b870014129028ad0bee38879c"
    13.908 D | Download succeeded: "https://resources.download.minecraft.net/cb/cba2511f127d5d03fdbb9525d7699544eba5d4f6"
    13.910 D | Task "Net::Download(0x24f44323370)" starting for the first time
    13.910 D | Downloading  "https://resources.download.minecraft.net/0e/0e6bac33a1dd885e0d98298e12c96c054e8e96c8"
    13.911 D | Task "Net::Download(0x24f44323130)" starting for the first time
    13.911 D | Downloading  "https://resources.download.minecraft.net/43/434a5173ca5ae72b00a8c4e348589fff1649012a"
    13.911 D | Task "Net::Download(0x24f443234f0)" starting for the first time
    13.912 D | Downloading  "https://resources.download.minecraft.net/22/227add185cd9aa17f0f423f68815e63f20596a4f"
    13.912 D | Task "Net::Download(0x24f44323df0)" starting for the first time
    13.912 D | Downloading  "https://resources.download.minecraft.net/04/04fc1df879b3e9e0edf03bce26f8a285d412d0fc"
    13.913 D | Task "Net::Download(0x24f443232b0)" starting for the first time
    13.913 D | Downloading  "https://resources.download.minecraft.net/23/235c819f1950633b04c2c32dd9614b41e4f5de9b"
    13.928 D | Download succeeded: "https://resources.download.minecraft.net/26/26073b1303e3d12275fc4d28d05ea3205fba9e08"
    13.928 D | Task "Net::Download(0x24f44323430)" starting for the first time
    13.929 D | Downloading  "https://resources.download.minecraft.net/a7/a77ec6dd92b8389eaade9bd7c089effbb9e13fd8"
    13.950 D | Download succeeded: "https://resources.download.minecraft.net/43/434a5173ca5ae72b00a8c4e348589fff1649012a"
    13.952 D | Download succeeded: "https://resources.download.minecraft.net/22/227add185cd9aa17f0f423f68815e63f20596a4f"
    13.953 D | Download succeeded: "https://resources.download.minecraft.net/23/235c819f1950633b04c2c32dd9614b41e4f5de9b"
    13.954 D | Task "Net::Download(0x24f44323970)" starting for the first time
    13.954 D | Downloading  "https://resources.download.minecraft.net/75/754fbf8aa9c2ee7a185b1f3a7a8ae5c894ef587a"
    13.955 D | Task "Net::Download(0x24f443237f0)" starting for the first time
    13.955 D | Downloading  "https://resources.download.minecraft.net/de/dee916be9b392898ddb3250a2f08c4a081d8320a"
    13.955 D | Task "Net::Download(0x24f44323730)" starting for the first time
    13.956 D | Downloading  "https://resources.download.minecraft.net/a3/a323ba8374505da8b9d583794ea30ed63c7c0afd"
    13.958 D | Download succeeded: "https://resources.download.minecraft.net/0e/0e6bac33a1dd885e0d98298e12c96c054e8e96c8"
    13.959 D | Task "Net::Download(0x24f441eb280)" starting for the first time
    13.959 D | Downloading  "https://resources.download.minecraft.net/7c/7c8b86a7d33ff1b78bcf6e867386c1e5e047d08e"
    13.982 D | Download succeeded: "https://resources.download.minecraft.net/a7/a77ec6dd92b8389eaade9bd7c089effbb9e13fd8"
    13.984 D | Download succeeded: "https://resources.download.minecraft.net/75/754fbf8aa9c2ee7a185b1f3a7a8ae5c894ef587a"
    13.984 D | Task "Net::Download(0x24f441ea200)" starting for the first time
    13.985 D | Downloading  "https://resources.download.minecraft.net/79/79948a332ee6c72d38fe54291118120c144b2c8b"
    13.985 D | Task "Net::Download(0x24f441eb040)" starting for the first time
    13.985 D | Downloading  "https://resources.download.minecraft.net/2b/2bbb5670f166a6c0898e83a36d6ddf0b70a4c3f0"
    14.005 D | Download succeeded: "https://resources.download.minecraft.net/de/dee916be9b392898ddb3250a2f08c4a081d8320a"
    14.007 D | Download succeeded: "https://resources.download.minecraft.net/a3/a323ba8374505da8b9d583794ea30ed63c7c0afd"
    14.009 D | Download succeeded: "https://resources.download.minecraft.net/7c/7c8b86a7d33ff1b78bcf6e867386c1e5e047d08e"
    14.009 D | Task "Net::Download(0x24f441eac80)" starting for the first time
    14.009 D | Downloading  "https://resources.download.minecraft.net/ee/eef8b27356db603dacbdf3daf3bb8412a1412b4f"
    14.010 D | Task "Net::Download(0x24f441ebf40)" starting for the first time
    14.010 D | Downloading  "https://resources.download.minecraft.net/bc/bc91a0094140bb34ddef9662c75c1bb4af1f21fa"
    14.010 D | Task "Net::Download(0x24f441ebd00)" starting for the first time
    14.011 D | Downloading  "https://resources.download.minecraft.net/3b/3ba4e73ce19a5207d88495b32f7abde4ae065ada"
    14.024 D | Download succeeded: "https://resources.download.minecraft.net/79/79948a332ee6c72d38fe54291118120c144b2c8b"
    14.026 D | Download succeeded: "https://resources.download.minecraft.net/2b/2bbb5670f166a6c0898e83a36d6ddf0b70a4c3f0"
    14.026 D | Task "Net::Download(0x24f441eb880)" starting for the first time
    14.027 D | Downloading  "https://resources.download.minecraft.net/37/37310577c903e85a9ae6b1393a94b9127a1a4c76"
    14.027 D | Task "Net::Download(0x24f441ead40)" starting for the first time
    14.028 D | Downloading  "https://resources.download.minecraft.net/f8/f8064da93f4fb9b43c2b10d398101bb93f2c5914"
    14.046 D | Download succeeded: "https://resources.download.minecraft.net/3b/3ba4e73ce19a5207d88495b32f7abde4ae065ada"
    14.048 D | Download succeeded: "https://resources.download.minecraft.net/ee/eef8b27356db603dacbdf3daf3bb8412a1412b4f"
    14.048 D | Task "Net::Download(0x24f441e9900)" starting for the first time
    14.048 D | Downloading  "https://resources.download.minecraft.net/0c/0cc576cae7a4c2e2bb969f545ba09a1d4f746e4f"
    14.049 D | Task "Net::Download(0x24f441ea140)" starting for the first time
    14.049 D | Downloading  "https://resources.download.minecraft.net/4d/4d1d157536fd24989860a8adaa615c6d2dba5c9d"
    14.075 D | Download succeeded: "https://resources.download.minecraft.net/f8/f8064da93f4fb9b43c2b10d398101bb93f2c5914"
    14.080 D | Download succeeded: "https://resources.download.minecraft.net/37/37310577c903e85a9ae6b1393a94b9127a1a4c76"
    14.083 D | Task "Net::Download(0x24f441eb7c0)" starting for the first time
    14.084 D | Downloading  "https://resources.download.minecraft.net/9f/9f6f7c5a11aeb75ed6f943b5d9ee02e49a0bf26f"
    14.084 D | Task "Net::Download(0x24f441eaf80)" starting for the first time
    14.085 D | Downloading  "https://resources.download.minecraft.net/b7/b7a496f571a432f8a20cdd725b8a10f0cc30d5bb"
    14.088 D | Download succeeded: "https://resources.download.minecraft.net/bc/bc91a0094140bb34ddef9662c75c1bb4af1f21fa"
    14.090 D | Download succeeded: "https://resources.download.minecraft.net/04/04fc1df879b3e9e0edf03bce26f8a285d412d0fc"
    14.092 D | Task "Net::Download(0x24f441ec000)" starting for the first time
    14.093 D | Downloading  "https://resources.download.minecraft.net/3e/3eddefcae7dd754b80765c2fee955aa26c644e7c"
    14.093 D | Task "Net::Download(0x24f441eba00)" starting for the first time
    14.094 D | Downloading  "https://resources.download.minecraft.net/e1/e1531690171d1940e0737074a8e6dbd31387d4b1"
    14.103 D | Download succeeded: "https://resources.download.minecraft.net/4d/4d1d157536fd24989860a8adaa615c6d2dba5c9d"
    14.106 D | Download succeeded: "https://resources.download.minecraft.net/0c/0cc576cae7a4c2e2bb969f545ba09a1d4f746e4f"
    14.108 D | Task "Net::Download(0x24f441ea2c0)" starting for the first time
    14.111 D | Downloading  "https://resources.download.minecraft.net/de/de98f91fbce73a38fa30e887ac8dce08aac8e675"
    14.112 D | Task "Net::Download(0x24f441e9a80)" starting for the first time
    14.112 D | Downloading  "https://resources.download.minecraft.net/b2/b2ae2bdcbaabf46448ed282df1ae1cc7096bb8e9"
    14.148 D | Download succeeded: "https://resources.download.minecraft.net/e1/e1531690171d1940e0737074a8e6dbd31387d4b1"
    14.150 D | Download succeeded: "https://resources.download.minecraft.net/9f/9f6f7c5a11aeb75ed6f943b5d9ee02e49a0bf26f"
    14.152 D | Download succeeded: "https://resources.download.minecraft.net/b7/b7a496f571a432f8a20cdd725b8a10f0cc30d5bb"
    14.153 D | Download succeeded: "https://resources.download.minecraft.net/3e/3eddefcae7dd754b80765c2fee955aa26c644e7c"
    14.154 D | Task "Net::Download(0x24f441ebac0)" starting for the first time
    14.155 D | Downloading  "https://resources.download.minecraft.net/a5/a5362a693f9ae184c1e87ac07fb7ad949d2aee45"
    14.155 D | Task "Net::Download(0x24f441e9fc0)" starting for the first time
    14.156 D | Downloading  "https://resources.download.minecraft.net/e2/e2c1207fb138a72cbc29277497408cde75b28698"
    14.157 D | Task "Net::Download(0x24f441eaec0)" starting for the first time
    14.158 D | Downloading  "https://resources.download.minecraft.net/49/49ae543155e15b8115206f3bdcf1b929b7725b62"
    14.158 D | Task "Net::Download(0x24f441e9b40)" starting for the first time
    14.158 D | Downloading  "https://resources.download.minecraft.net/0a/0ae403bea99c54d26b09f7d588ea11ddb4b6dc98"
    14.173 D | Download succeeded: "https://resources.download.minecraft.net/de/de98f91fbce73a38fa30e887ac8dce08aac8e675"
    14.175 D | Download succeeded: "https://resources.download.minecraft.net/b2/b2ae2bdcbaabf46448ed282df1ae1cc7096bb8e9"
    14.177 D | Task "Net::Download(0x24f441ea380)" starting for the first time
    14.177 D | Downloading  "https://resources.download.minecraft.net/d6/d6c41fbec35949f5ab7423d0a3cd174bacfd406d"
    14.177 D | Task "Net::Download(0x24f441e90c0)" starting for the first time
    14.178 D | Downloading  "https://resources.download.minecraft.net/11/11b24be2acd87d0d3cadd3b4a5e7f5cf29d75b9c"
    14.217 D | Download succeeded: "https://resources.download.minecraft.net/a5/a5362a693f9ae184c1e87ac07fb7ad949d2aee45"
    14.219 D | Download succeeded: "https://resources.download.minecraft.net/e2/e2c1207fb138a72cbc29277497408cde75b28698"
    14.221 D | Download succeeded: "https://resources.download.minecraft.net/49/49ae543155e15b8115206f3bdcf1b929b7725b62"
    14.222 D | Download succeeded: "https://resources.download.minecraft.net/0a/0ae403bea99c54d26b09f7d588ea11ddb4b6dc98"
    14.226 D | Task "Net::Download(0x24f441e9cc0)" starting for the first time
    14.226 D | Downloading  "https://resources.download.minecraft.net/ae/ae1490438f67b186d9d92a3dd0fbb6eaa604b31d"
    14.227 D | Task "Net::Download(0x24f441e9780)" starting for the first time
    14.228 D | Downloading  "https://resources.download.minecraft.net/7c/7c6d3020a1a11e34e722cc7e5283de54ca8cae19"
    14.228 D | Task "Net::Download(0x24f441ea080)" starting for the first time
    14.229 D | Downloading  "https://resources.download.minecraft.net/03/030a3d36cccac21197db2ec078f96cbc2caa1311"
    14.229 D | Task "Net::Download(0x24f441ebb80)" starting for the first time
    14.230 D | Downloading  "https://resources.download.minecraft.net/b9/b91c8cf157979540e517895beefe0390acac6454"
    14.240 D | Download succeeded: "https://resources.download.minecraft.net/d6/d6c41fbec35949f5ab7423d0a3cd174bacfd406d"
    14.242 D | Download succeeded: "https://resources.download.minecraft.net/11/11b24be2acd87d0d3cadd3b4a5e7f5cf29d75b9c"
    14.243 D | Task "Net::Download(0x24f441ea440)" starting for the first time
    14.244 D | Downloading  "https://resources.download.minecraft.net/c5/c54914b241363f9152af7bbb7bdbf103eb1ec63c"
    14.244 D | Task "Net::Download(0x24f441eb940)" starting for the first time
    14.245 D | Downloading  "https://resources.download.minecraft.net/b8/b80ca9ecba20183399aaddc4539f2cab84f61bfd"
    14.260 D | Download succeeded: "https://resources.download.minecraft.net/ae/ae1490438f67b186d9d92a3dd0fbb6eaa604b31d"
    14.262 D | Download succeeded: "https://resources.download.minecraft.net/7c/7c6d3020a1a11e34e722cc7e5283de54ca8cae19"
    14.263 D | Download succeeded: "https://resources.download.minecraft.net/03/030a3d36cccac21197db2ec078f96cbc2caa1311"
    14.265 D | Download succeeded: "https://resources.download.minecraft.net/b9/b91c8cf157979540e517895beefe0390acac6454"
    14.268 D | Task "Net::Download(0x24f441ebdc0)" starting for the first time
    14.269 D | Downloading  "https://resources.download.minecraft.net/be/becc6cf96c7de261ea95761aea34df7932610cc6"
    14.270 D | Task "Net::Download(0x24f441ea500)" starting for the first time
    14.270 D | Downloading  "https://resources.download.minecraft.net/1e/1eecbb056b9f9c8bb1b69fde9e21a875c77738a4"
    14.271 D | Task "Net::Download(0x24f441eb100)" starting for the first time
    14.271 D | Downloading  "https://resources.download.minecraft.net/13/13f2ea2f0466950814efe5f4d16be2962bc21eaa"
    14.272 D | Task "Net::Download(0x24f441e99c0)" starting for the first time
    14.272 D | Downloading  "https://resources.download.minecraft.net/7d/7d6c1342b6b32e85c4796dbd56e4036d14d6b843"
    14.282 D | Download succeeded: "https://resources.download.minecraft.net/b8/b80ca9ecba20183399aaddc4539f2cab84f61bfd"
    14.284 D | Download succeeded: "https://resources.download.minecraft.net/c5/c54914b241363f9152af7bbb7bdbf103eb1ec63c"
    14.285 D | Task "Net::Download(0x24f441eb700)" starting for the first time
    14.286 D | Downloading  "https://resources.download.minecraft.net/14/14c43698c10079ec8230d6deccb3d14d9fe4d07f"
    14.287 D | Task "Net::Download(0x24f441ea5c0)" starting for the first time
    14.288 D | Downloading  "https://resources.download.minecraft.net/87/87ee57c83676952bea27198e7393449d4fa36129"
    14.319 D | Download succeeded: "https://resources.download.minecraft.net/1e/1eecbb056b9f9c8bb1b69fde9e21a875c77738a4"
    14.321 D | Download succeeded: "https://resources.download.minecraft.net/13/13f2ea2f0466950814efe5f4d16be2962bc21eaa"
    14.324 D | Download succeeded: "https://resources.download.minecraft.net/7d/7d6c1342b6b32e85c4796dbd56e4036d14d6b843"
    14.326 D | Download succeeded: "https://resources.download.minecraft.net/be/becc6cf96c7de261ea95761aea34df7932610cc6"
    14.328 D | Task "Net::Download(0x24f441ea800)" starting for the first time
    14.331 D | Downloading  "https://resources.download.minecraft.net/71/711db30a0ea786c95247d89a0a34b0043dd16210"
    14.332 D | Task "Net::Download(0x24f441eb1c0)" starting for the first time
    14.333 D | Downloading  "https://resources.download.minecraft.net/c2/c2367ef1e142e531aa03808236325b5ded5cb184"
    14.334 D | Task "Net::Download(0x24f441eabc0)" starting for the first time
    14.334 D | Downloading  "https://resources.download.minecraft.net/73/739d157cea881e2ce67ed7deb4bb87f7fc7eb3e3"
    14.335 D | Task "Net::Download(0x24f441e9480)" starting for the first time
    14.335 D | Downloading  "https://resources.download.minecraft.net/d3/d37e0050ac3bf4514d4331da5b4fc6b76d40fc47"
    14.349 D | Download succeeded: "https://resources.download.minecraft.net/14/14c43698c10079ec8230d6deccb3d14d9fe4d07f"
    14.350 D | Download succeeded: "https://resources.download.minecraft.net/87/87ee57c83676952bea27198e7393449d4fa36129"
    14.351 D | Task "Net::Download(0x24f441e93c0)" starting for the first time
    14.352 D | Downloading  "https://resources.download.minecraft.net/8c/8ca2c5219bef386424c8d002a30dbb6d5c63e45f"
    14.352 D | Task "Net::Download(0x24f441eaa40)" starting for the first time
    14.353 D | Downloading  "https://resources.download.minecraft.net/3e/3ec63275fffdf755e78cc01fa22d050830034fb8"
    14.381 D | Download succeeded: "https://resources.download.minecraft.net/71/711db30a0ea786c95247d89a0a34b0043dd16210"
    14.383 D | Download succeeded: "https://resources.download.minecraft.net/73/739d157cea881e2ce67ed7deb4bb87f7fc7eb3e3"
    14.384 D | Download succeeded: "https://resources.download.minecraft.net/d3/d37e0050ac3bf4514d4331da5b4fc6b76d40fc47"
    14.386 D | Download succeeded: "https://resources.download.minecraft.net/c2/c2367ef1e142e531aa03808236325b5ded5cb184"
    14.388 D | Task "Net::Download(0x24f441e9180)" starting for the first time
    14.388 D | Downloading  "https://resources.download.minecraft.net/9e/9ec3a85c351475f38ecc01dd4b1b1bd5ae82ddf8"
    14.389 D | Task "Net::Download(0x24f441ea740)" starting for the first time
    14.390 D | Downloading  "https://resources.download.minecraft.net/cc/cc18f6fff795c388d5344835cbdd26033ffe612a"
    14.390 D | Task "Net::Download(0x24f441e9c00)" starting for the first time
    14.391 D | Downloading  "https://resources.download.minecraft.net/b1/b1b19e98780d3f3b205529784381722bc2072293"
    14.392 D | Task "Net::Download(0x24f441eb340)" starting for the first time
    14.392 D | Downloading  "https://resources.download.minecraft.net/8e/8e1a772f818d2e6eed58cdb2b083bde8776c38de"
    14.403 D | Download succeeded: "https://resources.download.minecraft.net/8c/8ca2c5219bef386424c8d002a30dbb6d5c63e45f"
    14.404 D | Task "Net::Download(0x24f441e9d80)" starting for the first time
    14.405 D | Downloading  "https://resources.download.minecraft.net/38/382a151231a96ffbea3622943cd2cb64acca107e"
    14.412 D | Download succeeded: "https://resources.download.minecraft.net/3e/3ec63275fffdf755e78cc01fa22d050830034fb8"
    14.413 D | Task "Net::Download(0x24f441ea680)" starting for the first time
    14.414 D | Downloading  "https://resources.download.minecraft.net/39/39ec9f647dc54c66f72dcaf0e54b066f413a0895"
    14.433 D | Download succeeded: "https://resources.download.minecraft.net/cc/cc18f6fff795c388d5344835cbdd26033ffe612a"
    14.434 D | Download succeeded: "https://resources.download.minecraft.net/b1/b1b19e98780d3f3b205529784381722bc2072293"
    14.436 D | Download succeeded: "https://resources.download.minecraft.net/38/382a151231a96ffbea3622943cd2cb64acca107e"
    14.439 D | Download succeeded: "https://resources.download.minecraft.net/8e/8e1a772f818d2e6eed58cdb2b083bde8776c38de"
    14.441 D | Task "Net::Download(0x24f441ea8c0)" starting for the first time
    14.442 D | Downloading  "https://resources.download.minecraft.net/24/240d7af9ddb309e5e6b30f5b69b163bda9f43d8e"
    14.443 D | Task "Net::Download(0x24f441eae00)" starting for the first time
    14.443 D | Downloading  "https://resources.download.minecraft.net/64/64aedc68cc012df8336801a50e617b4fd09343fd"
    14.444 D | Task "Net::Download(0x24f441e9540)" starting for the first time
    14.444 D | Downloading  "https://resources.download.minecraft.net/54/54d86634de079d8e52cc0129fa7cfe269a8fec17"
    14.444 D | Task "Net::Download(0x24f441e9300)" starting for the first time
    14.445 D | Downloading  "https://resources.download.minecraft.net/2c/2ccf6ef5fc880ccd57a6e550c443700e6d748e3c"
    14.483 D | Download succeeded: "https://resources.download.minecraft.net/39/39ec9f647dc54c66f72dcaf0e54b066f413a0895"
    14.484 D | Task "Net::Download(0x24f441eb580)" starting for the first time
    14.485 D | Downloading  "https://resources.download.minecraft.net/f9/f929049bb7d6cd5ab7cfbb51e55ea3cee52e5729"
    14.510 D | Download succeeded: "https://resources.download.minecraft.net/64/64aedc68cc012df8336801a50e617b4fd09343fd"
    14.512 D | Download succeeded: "https://resources.download.minecraft.net/2c/2ccf6ef5fc880ccd57a6e550c443700e6d748e3c"
    14.513 D | Download succeeded: "https://resources.download.minecraft.net/24/240d7af9ddb309e5e6b30f5b69b163bda9f43d8e"
    14.514 D | Task "Net::Download(0x24f441ea980)" starting for the first time
    14.515 D | Downloading  "https://resources.download.minecraft.net/0e/0e5029467ce047b3146be7ac3c25325301e223dd"
    14.515 D | Task "Net::Download(0x24f441e9f00)" starting for the first time
    14.516 D | Downloading  "https://resources.download.minecraft.net/a8/a8729aeadb4f8303d16366e2896098cc7926da67"
    14.516 D | Task "Net::Download(0x24f441e9e40)" starting for the first time
    14.517 D | Downloading  "https://resources.download.minecraft.net/b2/b2b85858191c452aa27d1ea790edf2c9c497e0d5"
    14.549 D | Download succeeded: "https://resources.download.minecraft.net/54/54d86634de079d8e52cc0129fa7cfe269a8fec17"
