     0.000 D | <> Log initialized.
     4.990 D | Downloading  "https://resources.download.minecraft.net/4e/4e27071e0aeeb6a07c23f64fd0593cc07066197c"
     4.991 D | Task "Net::Download(0x291463ad3d0)" starting for the first time
     4.991 D | Downloading  "https://resources.download.minecraft.net/cc/ccc5be56703587ce654232255afdb623ac9ce529"
     4.991 D | Task "Net::Download(0x291463ad490)" starting for the first time
     4.992 D | Downloading  "https://resources.download.minecraft.net/92/9254287419bdb1317fce78cb3a81d2092e5f3a13"
     4.992 D | Task "Net::Download(0x291463ad010)" starting for the first time
     4.992 D | Downloading  "https://resources.download.minecraft.net/d1/d1d1bc479296936784a17d1220be848f7c6b6175"
     4.992 D | Task "Net::Download(0x291463acad0)" starting for the first time
     4.993 D | Downloading  "https://resources.download.minecraft.net/1e/1e168ded4b7814e80f1921764ca840ae63cc7174"
     4.993 D | Task "Net::Download(0x2914436f9f0)" starting for the first time
     4.994 D | Downloading  "https://resources.download.minecraft.net/54/54a0745233e57a5c3e046fe4948329beb2a701b1"
     5.349 D | Download succeeded: "https://resources.download.minecraft.net/54/54a0745233e57a5c3e046fe4948329beb2a701b1"
     5.351 D | Download succeeded: "https://resources.download.minecraft.net/1e/1e168ded4b7814e80f1921764ca840ae63cc7174"
     5.352 D | Download succeeded: "https://resources.download.minecraft.net/d1/d1d1bc479296936784a17d1220be848f7c6b6175"
     5.353 D | Download succeeded: "https://resources.download.minecraft.net/92/9254287419bdb1317fce78cb3a81d2092e5f3a13"
     5.354 D | Download succeeded: "https://resources.download.minecraft.net/cc/ccc5be56703587ce654232255afdb623ac9ce529"
     5.356 D | Download succeeded: "https://resources.download.minecraft.net/4e/4e27071e0aeeb6a07c23f64fd0593cc07066197c"
     5.356 D | Task "Net::Download(0x291463aca10)" starting for the first time
     5.356 D | Downloading  "https://resources.download.minecraft.net/89/89c21f58161f9a243bcbd9a76733496bdf44894a"
     5.357 D | Task "Net::Download(0x291463ad310)" starting for the first time
     5.357 D | Downloading  "https://resources.download.minecraft.net/b9/b97f6383820442ef31ee00aadfb844f8b8cd5874"
     5.357 D | Task "Net::Download(0x291463ac4d0)" starting for the first time
     5.358 D | Downloading  "https://resources.download.minecraft.net/22/22d8738b0d26532de8cedee5a742d388f2dafca3"
     5.358 D | Task "Net::Download(0x291463ad610)" starting for the first time
     5.358 D | Downloading  "https://resources.download.minecraft.net/47/4780c6c2bb024acdb3a6e49b88b52768e4342b2d"
     5.358 D | Task "Net::Download(0x291463ad550)" starting for the first time
     5.358 D | Downloading  "https://resources.download.minecraft.net/5d/5d8f621599a2154c441f78452be0903fb44cf32d"
     5.359 D | Task "Net::Download(0x291463ad0d0)" starting for the first time
     5.359 D | Downloading  "https://resources.download.minecraft.net/8d/8d0ab226f017856a9b771e97490fcc8636915386"
     5.395 D | Download succeeded: "https://resources.download.minecraft.net/89/89c21f58161f9a243bcbd9a76733496bdf44894a"
     5.396 D | Task "Net::Download(0x291463adcd0)" starting for the first time
     5.396 D | Downloading  "https://resources.download.minecraft.net/9e/9efeafa8b1b8bb2d0bb40da50c59a8853602615a"
     5.430 D | Download succeeded: "https://resources.download.minecraft.net/22/22d8738b0d26532de8cedee5a742d388f2dafca3"
     5.431 D | Download succeeded: "https://resources.download.minecraft.net/47/4780c6c2bb024acdb3a6e49b88b52768e4342b2d"
     5.433 D | Download succeeded: "https://resources.download.minecraft.net/b9/b97f6383820442ef31ee00aadfb844f8b8cd5874"
     5.435 D | Download succeeded: "https://resources.download.minecraft.net/8d/8d0ab226f017856a9b771e97490fcc8636915386"
     5.436 D | Download succeeded: "https://resources.download.minecraft.net/5d/5d8f621599a2154c441f78452be0903fb44cf32d"
     5.436 D | Task "Net::Download(0x291463ac290)" starting for the first time
     5.437 D | Downloading  "https://resources.download.minecraft.net/d7/d76e7053c1e20bfdadf4ef1b2a5861959d9507eb"
     5.437 D | Task "Net::Download(0x291463acc50)" starting for the first time
     5.437 D | Downloading  "https://resources.download.minecraft.net/ed/ed94c7c7633e8675857e7a4bc6d30e5d8632715a"
     5.438 D | Task "Net::Download(0x291463ad190)" starting for the first time
     5.438 D | Downloading  "https://resources.download.minecraft.net/37/37485af7d2c8792ec4898f4e30dfb476bee838f3"
     5.438 D | Task "Net::Download(0x291463ad6d0)" starting for the first time
     5.439 D | Downloading  "https://resources.download.minecraft.net/c1/c1c02e8025962735a8271192b13997411dd21ccf"
     5.439 D | Task "Net::Download(0x291463ad850)" starting for the first time
     5.439 D | Downloading  "https://resources.download.minecraft.net/13/13adb9d521e13c5f274d1f556ac3cc655c70ac93"
     5.464 D | Download succeeded: "https://resources.download.minecraft.net/9e/9efeafa8b1b8bb2d0bb40da50c59a8853602615a"
     5.464 D | Task "Net::Download(0x291463ad9d0)" starting for the first time
     5.465 D | Downloading  "https://resources.download.minecraft.net/86/86711caee7af28f89f8c1ac8f47c24755f67ee0c"
     5.499 D | Download succeeded: "https://resources.download.minecraft.net/c1/c1c02e8025962735a8271192b13997411dd21ccf"
     5.500 D | Download succeeded: "https://resources.download.minecraft.net/ed/ed94c7c7633e8675857e7a4bc6d30e5d8632715a"
     5.501 D | Download succeeded: "https://resources.download.minecraft.net/13/13adb9d521e13c5f274d1f556ac3cc655c70ac93"
     5.502 D | Download succeeded: "https://resources.download.minecraft.net/d7/d76e7053c1e20bfdadf4ef1b2a5861959d9507eb"
     5.503 D | Download succeeded: "https://resources.download.minecraft.net/37/37485af7d2c8792ec4898f4e30dfb476bee838f3"
     5.504 D | Task "Net::Download(0x291463ac110)" starting for the first time
     5.504 D | Downloading  "https://resources.download.minecraft.net/16/1605a916de6b04562a9443e444735e9d7fed713d"
     5.504 D | Task "Net::Download(0x291463acb90)" starting for the first time
     5.505 D | Downloading  "https://resources.download.minecraft.net/2d/2d79efd74077c4974f034306713cafcbf3f38348"
     5.505 D | Task "Net::Download(0x291463ad250)" starting for the first time
     5.505 D | Downloading  "https://resources.download.minecraft.net/51/515a65dd950cbf5113aed3aba93cf646b55223ab"
     5.505 D | Task "Net::Download(0x291463add90)" starting for the first time
     5.506 D | Downloading  "https://resources.download.minecraft.net/62/62ae2955970b2ee2313cd75bb618bd786c2ff3f5"
     5.506 D | Task "Net::Download(0x291463ac7d0)" starting for the first time
     5.506 D | Downloading  "https://resources.download.minecraft.net/77/775f083130c38a179d6fb8ba3fdb3760344adb0f"
     5.533 D | Download succeeded: "https://resources.download.minecraft.net/86/86711caee7af28f89f8c1ac8f47c24755f67ee0c"
     5.533 D | Task "Net::Download(0x291463ac1d0)" starting for the first time
     5.534 D | Downloading  "https://resources.download.minecraft.net/ca/ca7d721293216295a7e9b3774e57c6da0e6c01d2"
     5.568 D | Download succeeded: "https://resources.download.minecraft.net/16/1605a916de6b04562a9443e444735e9d7fed713d"
     5.569 D | Download succeeded: "https://resources.download.minecraft.net/77/775f083130c38a179d6fb8ba3fdb3760344adb0f"
     5.570 D | Download succeeded: "https://resources.download.minecraft.net/2d/2d79efd74077c4974f034306713cafcbf3f38348"
     5.571 D | Download succeeded: "https://resources.download.minecraft.net/62/62ae2955970b2ee2313cd75bb618bd786c2ff3f5"
     5.572 D | Download succeeded: "https://resources.download.minecraft.net/51/515a65dd950cbf5113aed3aba93cf646b55223ab"
     5.572 D | Task "Net::Download(0x291463ac890)" starting for the first time
     5.573 D | Downloading  "https://resources.download.minecraft.net/46/463c56d83d5888290e9b2188f66420c5ce36ab1e"
     5.573 D | Task "Net::Download(0x291463adb50)" starting for the first time
     5.574 D | Downloading  "https://resources.download.minecraft.net/15/15cd753e49a8bf1b43facb03fcf73234960e176a"
     5.574 D | Task "Net::Download(0x291463ade50)" starting for the first time
     5.574 D | Downloading  "https://resources.download.minecraft.net/10/10b457a8461d29edb0406869b413d191e4daaa61"
     5.574 D | Task "Net::Download(0x291463ad910)" starting for the first time
     5.575 D | Downloading  "https://resources.download.minecraft.net/17/175adf6bebd52a99cbb7cf48db6e651f6c1cb07c"
     5.575 D | Task "Net::Download(0x291463ad790)" starting for the first time
     5.575 D | Downloading  "https://resources.download.minecraft.net/9e/9efa39d62ff69b4a3ef1c986cd76b13db839ddaa"
     5.604 D | Download succeeded: "https://resources.download.minecraft.net/ca/ca7d721293216295a7e9b3774e57c6da0e6c01d2"
     5.604 D | Task "Net::Download(0x291463acd10)" starting for the first time
     5.605 D | Downloading  "https://resources.download.minecraft.net/7e/7e2b7d6bdc2b899b11e881d6529d53587b5e463c"
     5.637 D | Download succeeded: "https://resources.download.minecraft.net/46/463c56d83d5888290e9b2188f66420c5ce36ab1e"
     5.638 D | Download succeeded: "https://resources.download.minecraft.net/9e/9efa39d62ff69b4a3ef1c986cd76b13db839ddaa"
     5.640 D | Download succeeded: "https://resources.download.minecraft.net/15/15cd753e49a8bf1b43facb03fcf73234960e176a"
     5.641 D | Download succeeded: "https://resources.download.minecraft.net/17/175adf6bebd52a99cbb7cf48db6e651f6c1cb07c"
     5.642 D | Download succeeded: "https://resources.download.minecraft.net/10/10b457a8461d29edb0406869b413d191e4daaa61"
     5.643 D | Task "Net::Download(0x291463ada90)" starting for the first time
     5.643 D | Downloading  "https://resources.download.minecraft.net/43/43c8e9976ed061cf7780d080c15a9f446965540a"
     5.643 D | Task "Net::Download(0x291463ac710)" starting for the first time
     5.644 D | Downloading  "https://resources.download.minecraft.net/3c/3c364e117468d3232cb75c67777120d98b4b89f4"
     5.644 D | Task "Net::Download(0x291463adc10)" starting for the first time
     5.644 D | Downloading  "https://resources.download.minecraft.net/34/34ba5df38b450a7ccfbb272e0bad1b11da39faff"
     5.644 D | Task "Net::Download(0x291463ac650)" starting for the first time
     5.645 D | Downloading  "https://resources.download.minecraft.net/e9/e9b44bdf862d8332b113aeb0c2de94e2c1a829e3"
     5.645 D | Task "Net::Download(0x291463acdd0)" starting for the first time
     5.645 D | Downloading  "https://resources.download.minecraft.net/ff/ffcf157d407f03a5ec040e0fabea90948b7e9125"
     5.672 D | Download succeeded: "https://resources.download.minecraft.net/7e/7e2b7d6bdc2b899b11e881d6529d53587b5e463c"
     5.672 D | Task "Net::Download(0x291463ac350)" starting for the first time
     5.672 D | Downloading  "https://resources.download.minecraft.net/83/8372b935027c0fcc318f4100a49c2ce535215ea6"
     5.706 D | Download succeeded: "https://resources.download.minecraft.net/ff/ffcf157d407f03a5ec040e0fabea90948b7e9125"
     5.707 D | Download succeeded: "https://resources.download.minecraft.net/e9/e9b44bdf862d8332b113aeb0c2de94e2c1a829e3"
     5.708 D | Download succeeded: "https://resources.download.minecraft.net/34/34ba5df38b450a7ccfbb272e0bad1b11da39faff"
     5.709 D | Download succeeded: "https://resources.download.minecraft.net/3c/3c364e117468d3232cb75c67777120d98b4b89f4"
     5.710 D | Download succeeded: "https://resources.download.minecraft.net/43/43c8e9976ed061cf7780d080c15a9f446965540a"
     5.711 D | Task "Net::Download(0x291463ac590)" starting for the first time
     5.711 D | Downloading  "https://resources.download.minecraft.net/18/18e070182052d63ec9b28ccec571a64db9137341"
     5.712 D | Task "Net::Download(0x291463ac410)" starting for the first time
     5.712 D | Downloading  "https://resources.download.minecraft.net/43/433ebc43b76a0da8643efbfb8c5c05ef697fef9a"
     5.712 D | Task "Net::Download(0x291463adfd0)" starting for the first time
     5.713 D | Downloading  "https://resources.download.minecraft.net/59/597b939d2fc17a6746d854b38b6f020a09d607c5"
     5.713 D | Task "Net::Download(0x291463ace90)" starting for the first time
     5.713 D | Downloading  "https://resources.download.minecraft.net/44/4463a33cbae36dfbfce9fae056cbe51b178d104e"
     5.714 D | Task "Net::Download(0x291463adf10)" starting for the first time
     5.714 D | Downloading  "https://resources.download.minecraft.net/c4/c4a2f95fa55bdfe47ed87bbfd632a3dba44d5a56"
     5.741 D | Download succeeded: "https://resources.download.minecraft.net/83/8372b935027c0fcc318f4100a49c2ce535215ea6"
     5.741 D | Task "Net::Download(0x291463acf50)" starting for the first time
     5.741 D | Downloading  "https://resources.download.minecraft.net/15/15bf6085c54dba88f19119618f639119f0bc1098"
     5.775 D | Download succeeded: "https://resources.download.minecraft.net/18/18e070182052d63ec9b28ccec571a64db9137341"
     5.777 D | Download succeeded: "https://resources.download.minecraft.net/59/597b939d2fc17a6746d854b38b6f020a09d607c5"
     5.778 D | Download succeeded: "https://resources.download.minecraft.net/43/433ebc43b76a0da8643efbfb8c5c05ef697fef9a"
     5.780 D | Download succeeded: "https://resources.download.minecraft.net/44/4463a33cbae36dfbfce9fae056cbe51b178d104e"
     5.783 D | Download succeeded: "https://resources.download.minecraft.net/c4/c4a2f95fa55bdfe47ed87bbfd632a3dba44d5a56"
     5.784 D | Task "Net::Download(0x2914634a4d0)" starting for the first time
     5.786 D | Downloading  "https://resources.download.minecraft.net/df/df520e00ad65242c93b8649530c9dedd9bc89ebb"
     5.786 D | Task "Net::Download(0x2914634add0)" starting for the first time
     5.787 D | Downloading  "https://resources.download.minecraft.net/25/25c7d39466742203c044958a6063b13c0a372ebb"
     5.787 D | Task "Net::Download(0x2914634a950)" starting for the first time
     5.788 D | Downloading  "https://resources.download.minecraft.net/e0/e0276f162b6e0289899335b408040472c41b07ad"
     5.789 D | Task "Net::Download(0x2914634a650)" starting for the first time
     5.789 D | Downloading  "https://resources.download.minecraft.net/59/5982988ed5219cc0531f84784cfece94eec3f569"
     5.790 D | Task "Net::Download(0x29146349e10)" starting for the first time
     5.790 D | Downloading  "https://resources.download.minecraft.net/22/225ea910feacca1194576deab74cb468f5b45f47"
     5.798 D | Component list save performed now for "1.19.3 Fabric"
     5.810 D | Download succeeded: "https://resources.download.minecraft.net/15/15bf6085c54dba88f19119618f639119f0bc1098"
     5.811 D | Task "Net::Download(0x2914634aad0)" starting for the first time
     5.811 D | Downloading  "https://resources.download.minecraft.net/d2/d28a73bcc2d9f7c47dc2050e7abbc81ac8fd843d"
     5.845 D | Download succeeded: "https://resources.download.minecraft.net/df/df520e00ad65242c93b8649530c9dedd9bc89ebb"
     5.846 D | Download succeeded: "https://resources.download.minecraft.net/25/25c7d39466742203c044958a6063b13c0a372ebb"
     5.847 D | Download succeeded: "https://resources.download.minecraft.net/e0/e0276f162b6e0289899335b408040472c41b07ad"
     5.849 D | Download succeeded: "https://resources.download.minecraft.net/22/225ea910feacca1194576deab74cb468f5b45f47"
     5.850 D | Download succeeded: "https://resources.download.minecraft.net/59/5982988ed5219cc0531f84784cfece94eec3f569"
     5.852 D | Task "Net::Download(0x2914634af50)" starting for the first time
     5.853 D | Downloading  "https://resources.download.minecraft.net/46/4624c464dbcf6eaa5dba21355ae45d6101c4c905"
     5.853 D | Task "Net::Download(0x2914634a710)" starting for the first time
     5.854 D | Downloading  "https://resources.download.minecraft.net/1e/1ea3cadc41a5f02efb49b0ade81eb4224c7b92a9"
     5.854 D | Task "Net::Download(0x29146349750)" starting for the first time
     5.855 D | Downloading  "https://resources.download.minecraft.net/8e/8ef7ca34cdf88dc0fceae66e6a4ea11a5bbd933a"
     5.855 D | Task "Net::Download(0x2914634a290)" starting for the first time
     5.855 D | Downloading  "https://resources.download.minecraft.net/36/36aff1e2ff86ad050db76e1e9228e39e5e4ccda8"
     5.855 D | Task "Net::Download(0x2914634b010)" starting for the first time
     5.856 D | Downloading  "https://resources.download.minecraft.net/2e/2e97d4147624266321e3be5e2ded7eb4b7514025"
     5.878 D | Download succeeded: "https://resources.download.minecraft.net/d2/d28a73bcc2d9f7c47dc2050e7abbc81ac8fd843d"
     5.879 D | Task "Net::Download(0x2914634aa10)" starting for the first time
     5.879 D | Downloading  "https://resources.download.minecraft.net/c3/c35bf3329b44361a911f71325bf6d47998013dfa"
     5.916 D | Download succeeded: "https://resources.download.minecraft.net/2e/2e97d4147624266321e3be5e2ded7eb4b7514025"
     5.917 D | Download succeeded: "https://resources.download.minecraft.net/1e/1ea3cadc41a5f02efb49b0ade81eb4224c7b92a9"
     5.919 D | Download succeeded: "https://resources.download.minecraft.net/8e/8ef7ca34cdf88dc0fceae66e6a4ea11a5bbd933a"
     5.921 D | Download succeeded: "https://resources.download.minecraft.net/36/36aff1e2ff86ad050db76e1e9228e39e5e4ccda8"
     5.922 D | Download succeeded: "https://resources.download.minecraft.net/46/4624c464dbcf6eaa5dba21355ae45d6101c4c905"
     5.926 D | Task "Net::Download(0x2914634a590)" starting for the first time
     5.926 D | Downloading  "https://resources.download.minecraft.net/ed/ede6207fca58c1530ab8ca51a54f082509ff790e"
     5.927 D | Task "Net::Download(0x2914634b0d0)" starting for the first time
     5.927 D | Downloading  "https://resources.download.minecraft.net/ba/ba7d23893ae4740476f904450dd764a7a78b9d21"
     5.928 D | Task "Net::Download(0x2914634a410)" starting for the first time
     5.928 D | Downloading  "https://resources.download.minecraft.net/a8/a868ff0d8269034653657b223b8c9b3a37e6a93c"
     5.928 D | Task "Net::Download(0x2914634ab90)" starting for the first time
     5.928 D | Downloading  "https://resources.download.minecraft.net/7c/7cad63868714143ffd5c22b70a741dd99ede4959"
     5.929 D | Task "Net::Download(0x29146349ed0)" starting for the first time
     5.929 D | Downloading  "https://resources.download.minecraft.net/9a/9a827dd1c53aa200bbd0a0b899807756ea76b9cc"
     5.948 D | Download succeeded: "https://resources.download.minecraft.net/c3/c35bf3329b44361a911f71325bf6d47998013dfa"
     5.948 D | Task "Net::Download(0x29146349f90)" starting for the first time
     5.949 D | Downloading  "https://resources.download.minecraft.net/60/6052cacd15b52952a134d16be64317624c69c90b"
     5.985 D | Download succeeded: "https://resources.download.minecraft.net/ed/ede6207fca58c1530ab8ca51a54f082509ff790e"
     5.987 D | Download succeeded: "https://resources.download.minecraft.net/a8/a868ff0d8269034653657b223b8c9b3a37e6a93c"
     5.988 D | Download succeeded: "https://resources.download.minecraft.net/ba/ba7d23893ae4740476f904450dd764a7a78b9d21"
     5.989 D | Download succeeded: "https://resources.download.minecraft.net/7c/7cad63868714143ffd5c22b70a741dd99ede4959"
     5.991 D | Download succeeded: "https://resources.download.minecraft.net/9a/9a827dd1c53aa200bbd0a0b899807756ea76b9cc"
     5.992 D | Task "Net::Download(0x2914634b190)" starting for the first time
     5.993 D | Downloading  "https://resources.download.minecraft.net/54/5481fa7661670b3bdb942a15b7c3639f64be9961"
     5.994 D | Task "Net::Download(0x2914634b310)" starting for the first time
     5.995 D | Downloading  "https://resources.download.minecraft.net/4f/4fd5e63658d0c3f6495b8a56ed266f9923b404e2"
     5.995 D | Task "Net::Download(0x29146349990)" starting for the first time
     5.995 D | Downloading  "https://resources.download.minecraft.net/95/95fd23c72f240e9256b6eb6049a9f7229807029b"
     5.996 D | Task "Net::Download(0x2914634a1d0)" starting for the first time
     5.996 D | Downloading  "https://resources.download.minecraft.net/4a/4a9dd965158908b99241d945828dd976a8b8db58"
     5.996 D | Task "Net::Download(0x29146349450)" starting for the first time
     5.997 D | Downloading  "https://resources.download.minecraft.net/ee/ee34dddc64b250b6fc61a6f970d97fa912ccd331"
     6.020 D | Download succeeded: "https://resources.download.minecraft.net/60/6052cacd15b52952a134d16be64317624c69c90b"
     6.021 D | Task "Net::Download(0x2914634a050)" starting for the first time
     6.021 D | Downloading  "https://resources.download.minecraft.net/c6/c63cfdcab6933d585a7feffb5e2c57899e11d556"
     6.055 D | Download succeeded: "https://resources.download.minecraft.net/95/95fd23c72f240e9256b6eb6049a9f7229807029b"
     6.056 D | Download succeeded: "https://resources.download.minecraft.net/4f/4fd5e63658d0c3f6495b8a56ed266f9923b404e2"
     6.058 D | Download succeeded: "https://resources.download.minecraft.net/ee/ee34dddc64b250b6fc61a6f970d97fa912ccd331"
     6.060 D | Download succeeded: "https://resources.download.minecraft.net/54/5481fa7661670b3bdb942a15b7c3639f64be9961"
     6.061 D | Download succeeded: "https://resources.download.minecraft.net/4a/4a9dd965158908b99241d945828dd976a8b8db58"
     6.062 D | Task "Net::Download(0x29146349c90)" starting for the first time
     6.062 D | Downloading  "https://resources.download.minecraft.net/8f/8f3de789b49d234a99a4cc331f495a03bbafabb4"
     6.063 D | Task "Net::Download(0x29146349810)" starting for the first time
     6.063 D | Downloading  "https://resources.download.minecraft.net/ba/ba073404681f5b6d52e6060c77f48fc1a3e58c09"
     6.064 D | Task "Net::Download(0x29146349d50)" starting for the first time
     6.064 D | Downloading  "https://resources.download.minecraft.net/77/77936504f2ac9d2e5821e23dbe810f9d38b5091c"
     6.064 D | Task "Net::Download(0x2914634ac50)" starting for the first time
     6.065 D | Downloading  "https://resources.download.minecraft.net/00/0087759fe01bdfad15071766d42a264aa0aafedd"
     6.065 D | Task "Net::Download(0x2914634a110)" starting for the first time
     6.066 D | Downloading  "https://resources.download.minecraft.net/06/0671f582b7c77b8cd33e82f8fdd6d1e95a7f6fb8"
     6.089 D | Download succeeded: "https://resources.download.minecraft.net/c6/c63cfdcab6933d585a7feffb5e2c57899e11d556"
     6.089 D | Task "Net::Download(0x291463498d0)" starting for the first time
     6.090 D | Downloading  "https://resources.download.minecraft.net/01/01db5c538d2de459f02047208bebf00e6a085ef9"
     6.124 D | Download succeeded: "https://resources.download.minecraft.net/8f/8f3de789b49d234a99a4cc331f495a03bbafabb4"
     6.125 D | Download succeeded: "https://resources.download.minecraft.net/77/77936504f2ac9d2e5821e23dbe810f9d38b5091c"
     6.127 D | Download succeeded: "https://resources.download.minecraft.net/00/0087759fe01bdfad15071766d42a264aa0aafedd"
     6.128 D | Download succeeded: "https://resources.download.minecraft.net/ba/ba073404681f5b6d52e6060c77f48fc1a3e58c09"
     6.129 D | Download succeeded: "https://resources.download.minecraft.net/06/0671f582b7c77b8cd33e82f8fdd6d1e95a7f6fb8"
     6.131 D | Task "Net::Download(0x2914634a890)" starting for the first time
     6.131 D | Downloading  "https://resources.download.minecraft.net/0a/0a4a39b4106614dafbae88adf3da90e48ded1ad3"
     6.132 D | Task "Net::Download(0x2914634a350)" starting for the first time
     6.132 D | Downloading  "https://resources.download.minecraft.net/c0/c0b0bcde4bbc76a746c78be14bc0385c20077cef"
     6.133 D | Task "Net::Download(0x29146349b10)" starting for the first time
     6.133 D | Downloading  "https://resources.download.minecraft.net/96/9617dd6f452ae0bb610b78aae1d83ace90c2a149"
     6.134 D | Task "Net::Download(0x2914634a7d0)" starting for the first time
     6.134 D | Downloading  "https://resources.download.minecraft.net/62/621470d14de513a45b5af19e3e630bc786294ecb"
     6.135 D | Task "Net::Download(0x29146349510)" starting for the first time
     6.135 D | Downloading  "https://resources.download.minecraft.net/e4/e4f85f4d1cb517ec1cc7b84023580a40d791e8cf"
     6.159 D | Download succeeded: "https://resources.download.minecraft.net/01/01db5c538d2de459f02047208bebf00e6a085ef9"
     6.159 D | Task "Net::Download(0x29146349a50)" starting for the first time
     6.159 D | Downloading  "https://resources.download.minecraft.net/41/41b1e0e25803369e2ea1657c5d26bb30998ebb64"
     6.193 D | Download succeeded: "https://resources.download.minecraft.net/0a/0a4a39b4106614dafbae88adf3da90e48ded1ad3"
     6.194 D | Download succeeded: "https://resources.download.minecraft.net/c0/c0b0bcde4bbc76a746c78be14bc0385c20077cef"
     6.195 D | Download succeeded: "https://resources.download.minecraft.net/62/621470d14de513a45b5af19e3e630bc786294ecb"
     6.196 D | Download succeeded: "https://resources.download.minecraft.net/e4/e4f85f4d1cb517ec1cc7b84023580a40d791e8cf"
     6.197 D | Download succeeded: "https://resources.download.minecraft.net/96/9617dd6f452ae0bb610b78aae1d83ace90c2a149"
     6.198 D | Task "Net::Download(0x29146349690)" starting for the first time
     6.198 D | Downloading  "https://resources.download.minecraft.net/7e/7e9cc3aaf3dd48178e6b3ebbb7e306c1ecd99f72"
     6.199 D | Task "Net::Download(0x291463495d0)" starting for the first time
     6.199 D | Downloading  "https://resources.download.minecraft.net/de/deb9b52c3a28951d48841acadd60390b68355b86"
     6.199 D | Task "Net::Download(0x2914634b250)" starting for the first time
     6.199 D | Downloading  "https://resources.download.minecraft.net/1d/1d3cde3cdbf05b92b0c75984d4bc3632b0cb61b6"
     6.200 D | Task "Net::Download(0x2914634ae90)" starting for the first time
     6.200 D | Downloading  "https://resources.download.minecraft.net/d4/d4f51a4da28eda59d8d64304bf48c2c90b7c0240"
     6.200 D | Task "Net::Download(0x2914634ad10)" starting for the first time
     6.201 D | Downloading  "https://resources.download.minecraft.net/8a/8adb75272b3e1d7ba0e6a257b00e054e219d8f67"
     6.228 D | Download succeeded: "https://resources.download.minecraft.net/41/41b1e0e25803369e2ea1657c5d26bb30998ebb64"
     6.228 D | Task "Net::Download(0x29146349bd0)" starting for the first time
     6.228 D | Downloading  "https://resources.download.minecraft.net/a6/a6562e8d14569c9be8c857c3d6aa639dabaa85d8"
     6.262 D | Download succeeded: "https://resources.download.minecraft.net/7e/7e9cc3aaf3dd48178e6b3ebbb7e306c1ecd99f72"
     6.263 D | Download succeeded: "https://resources.download.minecraft.net/de/deb9b52c3a28951d48841acadd60390b68355b86"
     6.264 D | Download succeeded: "https://resources.download.minecraft.net/1d/1d3cde3cdbf05b92b0c75984d4bc3632b0cb61b6"
     6.266 D | Download succeeded: "https://resources.download.minecraft.net/d4/d4f51a4da28eda59d8d64304bf48c2c90b7c0240"
     6.267 D | Download succeeded: "https://resources.download.minecraft.net/8a/8adb75272b3e1d7ba0e6a257b00e054e219d8f67"
     6.268 D | Task "Net::Download(0x29145fdbd80)" starting for the first time
     6.268 D | Downloading  "https://resources.download.minecraft.net/6b/6bfff2a958db431970b1cb8d9dbb9c219cc61022"
     6.269 D | Task "Net::Download(0x29145fdb840)" starting for the first time
     6.269 D | Downloading  "https://resources.download.minecraft.net/34/342790fb463baafaa7b8d61102567b48505cbdf2"
     6.269 D | Task "Net::Download(0x29145fdc140)" starting for the first time
     6.270 D | Downloading  "https://resources.download.minecraft.net/e9/e967f24f61a222b616dd9cda511f0295aad99bbd"
     6.270 D | Task "Net::Download(0x29145fdbf00)" starting for the first time
     6.270 D | Downloading  "https://resources.download.minecraft.net/47/478e408dfbdf80fbef0c01c00e13db9d30c6fdef"
     6.271 D | Task "Net::Download(0x29145fdbe40)" starting for the first time
     6.271 D | Downloading  "https://resources.download.minecraft.net/b8/b817ea0ee0b5808f901545e34969010d01dfcc7f"
     6.296 D | Download succeeded: "https://resources.download.minecraft.net/a6/a6562e8d14569c9be8c857c3d6aa639dabaa85d8"
     6.296 D | Task "Net::Download(0x29145fdbfc0)" starting for the first time
     6.297 D | Downloading  "https://resources.download.minecraft.net/fe/fe0aa753f52ff42f65b0ce142cd91c7851eae3ba"
     6.331 D | Download succeeded: "https://resources.download.minecraft.net/47/478e408dfbdf80fbef0c01c00e13db9d30c6fdef"
     6.332 D | Download succeeded: "https://resources.download.minecraft.net/34/342790fb463baafaa7b8d61102567b48505cbdf2"
     6.334 D | Download succeeded: "https://resources.download.minecraft.net/6b/6bfff2a958db431970b1cb8d9dbb9c219cc61022"
     6.335 D | Download succeeded: "https://resources.download.minecraft.net/b8/b817ea0ee0b5808f901545e34969010d01dfcc7f"
     6.336 D | Download succeeded: "https://resources.download.minecraft.net/e9/e967f24f61a222b616dd9cda511f0295aad99bbd"
     6.336 D | Task "Net::Download(0x29145fdc2c0)" starting for the first time
     6.336 D | Downloading  "https://resources.download.minecraft.net/75/756529ea99c4e259d66b1dd0b945e7d62904e2c8"
     6.337 D | Task "Net::Download(0x29145fdc200)" starting for the first time
     6.337 D | Downloading  "https://resources.download.minecraft.net/23/23360665fe34480dae0056e9f11ef6c47cc8e3df"
     6.337 D | Task "Net::Download(0x29145fdb900)" starting for the first time
     6.338 D | Downloading  "https://resources.download.minecraft.net/41/412fbf472c29b9eef3a08cafcf665c0c9bd93ab8"
     6.338 D | Task "Net::Download(0x29145fdbb40)" starting for the first time
     6.338 D | Downloading  "https://resources.download.minecraft.net/4f/4f380fccd5258b882bb7d5a471a7906ef0a5a0e5"
     6.338 D | Task "Net::Download(0x29145fdc080)" starting for the first time
